ID;Produit;Annonceur;Pubs correspondantes;
1;3615 Joystick;Joystick;641, 642, 646, 652, 656, 653, 655, 659, 661, 663, 665, 670, 707, 709,  712, 713, 714, 715, 765, 831, 840, 853, 862, 1086, 1094, 1151, 1153, 1155, 1157, 1159, 1160, 1172, 1267, 1269, 1271, 1355, 1360, 1414, 1417, 1419, 1462;
2;Listing (jeux, matériel, magasin) Micromania;Micromania;174, 188, 209, 217;
3;Listing (jeux, matériel, magasin) Micromania;Micromania;464, 465, 466, 552, 553, 554, 555, 603, 604, 605, 606, 645, 647, 648, 649, 658, 701, 702, 703, 704, 756, 757, 758, 851;
4;Listing (jeux, matériel, magasin) Century Soft;Century Soft;1019, 1107, 1484, 1823, 1941, 2011, 2155, 2238, 2313, 2379, 2461, 2521, 2590, 2673, 2736, 2772, 2882, 3003, 3014, 3096, 3236;
5;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;569,627;
6;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;727, 788, 876, 1004, 1120, 1186;
7;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;566, 630, 711, 762, 864, 984, 1098, 1165;
8;Listing (jeux, matériel, magasin) Crépuscule;Crépuscule;738, 798, 902;
9;Listing (jeux, matériel, magasin) Electron;Electron;469, 489, 514, 539;
10;Listing (jeux, matériel, magasin) Electron;Electron;578, 684, 735, 801, 904;
11;Listing (jeux, matériel, magasin) GNI;GNI;732, 794, 889, 1031, 1127, 1184, 1239, 1309, 1365, 1428, 2035, 2091, 2180, 2266, 2331;
12;Listing (jeux, matériel, magasin) Hazardous Area;Hazardous Area;629,676;
13;Listing (jeux, matériel, magasin) Hazardous Area;Hazardous Area;884, 790, 1007, 1119, 1187, 1243;
14;Divers matériel;J.B.G. Electronics;581, 631, 685, 736, 800, 901, 1024, 1105;
15;3615 Joystick;Joystick;462, 467, 490, 542, 575, 620;
16;3615 Joystick;Joystick Hebdo;360, 361, 362, 367, 369, 370, 376, 377, 381, 382, 383, 389, 390, 391, 392, 399, 400, 412, 413, 414, 421, 422, 423;
17;3615 Joystick;Joystick Hebdo;306, 307, 308, 310, 311, 321, 322, 323, 325, 327, 337, 338, 339, 340;
18;Top Micromania;Micromania;644, 700, 755, 849, 950,  1080, 1161;
19;Listing (jeux, matériel, magasin) Micromania;Micromania;850, 852,  951, 952, 953, 954, 1081, 1082, 1083, 1084, 1162, 1163, 1164, 1209, 1211, 1281, 1282, 1283, 1327, 1328, 1329, 1392, 1393, 1463, 1695, 1696, 1697, 1802, 1803, 1804, 1923, 1924, 1925, 1993, 1994, 1995, 1996, 2063, 2064, 2065, 2217, 2218, 2219, 2294, 2295, 2296, 2367, 2368, 2369, 2371;
20;Top Nasa;Nasa électronique;551, 599, 640, 699, 753, 825, 944, 1076, 1150, 1206, 1265, 1324, 1385, 1453, 1522, 1602, 1682;
21;Club d’échange Pixisoft;Pixisoft;623, 791, 883, 1002, 1121, 1176, 1238, 1304, 1364, 1427, 1572, 1661, 1746, 1848, 1959, 2028, 2103, 2170, 2250, 2325;
22;Listing (jeux, matériel, magasin) Séquence News;Séquence News;804, 869, 870, 1027, 1028, 1102, 1103, 1169, 1170, 1231, 1294, 1347, 1407;
23;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;510, 535, 582, 673, 725, 782, 846;
24;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;996, 1113, 1179;
25;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;678, 730, 793, 1009;
26;Club européen du jeu;Ludic Software;683, 721, 775, 896, 1021;
27;Club Micro Avenue;Micro Avenue;459, 483, 512, 537;
28;Listing (jeux, matériel, magasin) Antares International;Antares International;1177, 1236, 1310, 1363, 1429, 1503, 1660, 1747, 1859, 1957, 2034, 2088, 2176, 2253;
29;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;1240, 1241;
30;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;1215, 1216, 1275, 1276;
31;Listing (jeux, matériel, magasin) Electron;Electron; 1023, 1106, 1171, 1225, 1288;
32;3615 Joystick;Joystick;1227, 1289, 1338, 1344;
33;Listing (jeux, matériel, magasin) Base 4;Base 4;1226, 1291, 1343, 1391, 1474, 1556;
34;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;1240, 1241, 1300, 1301;
35;Listing (jeux, matériel, magasin) Digital Access;Digital Access;1245, 1306, 1359, 1657, 1739, 1847, 1952, 2031, 2098, 2172, 2260, 2328, 2408;
36;Listing (jeux, matériel, magasin) Micro Sweet;Micro Sweet;1292, 1340, 1409, 1476, 1826;
37;Listing (jeux, matériel, magasin) Jessico;Jessico;1293, 1341, 1405, 1475, 1561, 1631, 1827, 1942, 2012, 2083, 2156, 2242, 2750, 2780, 2820, 3004, 3020, 3215, 3244, 3288, 3310, 3391, 3450, 3506, 3555, 3599, 3625, 3673, 3712, 3770, 3811, 3842, 3933, 4006, 4044, 4096, 4121, 4160, 4199, 4234, 4275, 4327, 4375, 4459, 4521, 4574, 4600, 4635, 4683, 4730, 4761, 4822, 4856;
38;Listing (jeux, matériel, magasin) IDE;IDE;1314, 1342;
39;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;1300, 1301, 1356, 1357;
40;Listing (jeux, matériel, magasin) Hazardous Area;Hazardous Area;1307, 1367, 1432;
41;Matériel PC Engine, jeux;Sodipeng SARL;1305, 1371, 1416, 1495;
42;Listing (jeux, matériel, magasin) Coconut;Coconut Informatique;1331, 1332, 1397, 1398, 1469, 1470;
43;Listing (jeux, matériel, magasin) Electron;Electron;1345, 1402;
44;Importation matériel, logiciel;Duchet Computers;774, 897, 1026, 1104, 1173, 1228, 1348, 1408, 1478;
45;Listing (matériel, magasin) Micro Sweet;Micro Sweet;1292, 1340, 1409, 1476, 1559, 1633, 1724, 1943, 2014, 2087, 2160, 2239, 2315, 2419;
46;Listing (club, jeux, matériel, magasin) Shoot Again;Shoot Again;1421, 1422, 1423, 1424, 1425, 1432;
47;Jeu Toki;Ocean Software, SFMI;1383, 1450;
48;Listing (jeux, matériel, magasin, carte, goodies) Micromania;Micromania;1450, 1460, 1461, 1542, 1543, 1544, 1546, 1613, 1614, 1615;
49;Listing (jeux, matériel, magasin) Dinky Soft;Dinky Soft;1403, 1479;
50;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;1369, 1435, 1500;
51;3615 Joystick;Joystick;1524, 1526, 1527, 1529, 1532, 1533, 1535, 1537, 1538, 1545, 1604, 1655, 1678, 1706, 1734, 1761, 1765, 1778, 1834, 1866, 1869, 1876, 1880, 1884, 2126, 2139, 2143, 2144, 2146, 2175, 2178, 2181, 2188, 2189, 2191, 2193, 2195, 2197;
52;Listing (jeux, matériel, magasin) Video Games;Video Games;1498, 1576, 1674, 1842, 1953, 2032, 2097, 2179, 2267;
53;3615 Joystick;Joystick;1577, 1580, 1582;
54;Obitus;Psygnosis;1062, 1198, 1620, 1762, 1918;
55;Listing (jeux, matériel, magasin) Shoot Again;Shoot Again;1570, 1648;
56;Émission télé, magasin;Micromania;1636, 1571, 1737;
57;Listing (jeux, matériel, magasin) Soft-Busters;Soft-Busters;1659, 1749, 1841;
58;Listing (jeux, matériel, magasin) Arkadoḯd;Arkadoḯd;1654, 1750;
59;Listing (jeux, matériel, magasin) Séquence News;Séquence News;1658, 1757, 1839, 1958, 2030;
60;Shadow of the beast II;Psygnosis;819, 1618, 1760;
61;Top Interdiscount;Interdiscount;1786, 1914, 1988, 2057, 2123, 2211, 2300, 2374, 2437, 2500, 2578, 2637, 2732, 2778, 2813, 2912, 3015;
62;Listing (club, jeux, matériel, magasin) Compustore Games;Compustore Games;1708, 1808, 1966;
63;Magasins Micromania;Micromania;1481, 1497, 1512, 1562, 1571, 1581, 1606, 1728, 1737, 1824, 1835, 1854, 1893, 1904, 1909, 1932, 1945, 1965, 1983, 1997, 2015, 2016, 2038, 2039, 2040, 2042, 2044, 2050, 2053, 2059, 2076, 2080, 2081, 2095, 2118, 2147, 2148, 2164, 2186, 2192, 2196, 2215, 2220, 2235, 2248, 2251, 2268, 2279, 2281, 2283, 2284;
64;Listing (jeux, matériel, magasin) Calculs Actuels;Calculs Actuels;1738, 1846;
65;Listing (jeux, matériel, magasin) Funware;Funware;1729, 1855, 1960, 2029, 2096, 2257, 2336, 2406, 2468, 2530, 2603, 2687, 2756, 2788, 2883, 3001, 3023, 3120, 3235, 3289, 3303, 3394, 3460;
66;Listing (club, jeux, matériel, magasin) Coconut;Coconut Informatique;1605, 1695, 1797, 1921;
67;Listing (club, jeux, matériel, magasin) Shoot Again;Shoot Again;1838, 1954;
68;Listing (jeux, matériel, magasin) Ultima Games;Ultima Games;1853, 1961, 2026, 2101, 2177, 2247;
