N;Mag;NB_Pub;NB_pages;Date
1;Joystick Hebdo;8;32;1988-11-09
2;Joystick Hebdo;11;32;1988-11-16
3;Joystick Hebdo;10;32;1988-11-23
4;Joystick Hebdo;9;32;1988-11-30
5;Joystick Hebdo;9;32;1988-12-07
6;Joystick Hebdo;8;32;1988-12-14
7;Joystick Hebdo;7;32;1988-12-21
8;Joystick Hebdo;8;32;1988-12-28
9;Joystick Hebdo;6;32;1989-01-04
10;Joystick Hebdo;8;32;1989-01-11
11;Joystick Hebdo;9;32;1989-01-18
12;Joystick Hebdo;8;32;1989-01-25
13;Joystick Hebdo;7;32;1989-02-01
14;Joystick Hebdo;9;32;1989-02-08
15;Joystick Hebdo;4;32;1989-02-15
16;Joystick Hebdo;6;32;1989-02-22
17;Joystick Hebdo;6;32;1989-03-01
18;Joystick Hebdo;9;32;1989-03-08
19;Joystick Hebdo;9;32;1989-03-15
20;Joystick Hebdo;8;32;1989-03-22
21;Joystick Hebdo;7;32;1989-03-29
22;Joystick Hebdo;8;32;1989-04-05
23;Joystick Hebdo;11;32;1989-04-12
24;Joystick Hebdo;7;32;1989-04-19
25;Joystick Hebdo;14;40;1989-04-26
26;Joystick Hebdo;10;40;1989-05-03
27;Joystick Hebdo;7;32;1989-05-10
28;Joystick Hebdo;9;40;1989-05-17
29;Joystick Hebdo;6;32;1989-05-24
30;Joystick Hebdo;7;32;1989-05-31
31;Joystick Hebdo;7;32;1989-06-07
32;Joystick Hebdo;9;32;1989-06-14
33;Joystick Hebdo;6;32;1989-06-21
34;Joystick Hebdo;7;32;1989-06-28
35;Joystick Hebdo;14;32;1989-07-05
36;Joystick Hebdo;16;32;1989-07-12
37;Joystick Hebdo;14;32;1989-07-19
38;Joystick Hebdo;5;32;1989-09-13
39;Joystick Hebdo;7;32;1989-09-20
40;Joystick Hebdo;9;32;1989-09-27
41;Joystick Hebdo;8;32;1989-10-04
42;Joystick Hebdo;7;32;1989-10-11
43;Joystick Hebdo;6;32;1989-10-18
44;Joystick Hebdo;9;32;1989-10-25
45;Joystick Hebdo;8;32;1989-11-01
46;Joystick Hebdo;15;40;1989-11-08
47;Joystick Hebdo;8;32;1989-11-15
48;Joystick Hebdo;12;40;1989-11-22
1;Joystick;43;148;1990-01
2;Joystick;18;132;1990-02
3;Joystick;29;148;1990-03
4;Joystick;26;132;1990-04
5;Joystick;48;164;1990-05
6;Joystick;40;164;1990-06
7;Joystick;58;212;1990-07
8;Joystick;52;196;1990-09
9;Joystick;71;204;1990-10
10;Joystick;120;292;1990-11
11;Joystick;133;324;1990-12
12;Joystick;73;212;1991-01
13;Joystick;56;196;1991-02
14;Joystick;58;228;1991-03
15;Joystick;59;196;1991-04
16;Joystick;61;228;1991-05
17;Joystick;67;212;1991-06
18;Joystick;69;276;1991-07
19;Joystick;80;276;1991-09
20;Joystick;80;228;1991-10
21;Joystick;104;276;1991-11
22;Joystick;127;324;1991-12
23;Joystick;74;244;1992-01
24;Joystick;69;228;1992-02
25;Joystick;66;212;1992-03
26;Joystick;86;212;1992-04
27;Joystick;79;276;1992-05
28;Joystick;65;228;1992-06
29;Joystick;81;292;1992-07
30;Joystick;52;276;1992-09
31;Joystick;70;276;1992-10
32;Joystick;68;276;1992-11
33;Joystick;93;300;1992-12
34;Joystick;43;252;1993-01
35;Joystick;37;212;1993-02
36;Joystick;96;212;1993-03
37;Joystick;116;260;1993-04
38;Joystick;82;196;1993-05
39;Joystick;127;244;1993-06
40;Joystick;37;244;1993-07
41;Joystick;39;180;1993-09
42;Joystick;55;196;1993-10
43;Joystick;61;204;1993-11
44;Joystick;67;212;1993-12
45;Joystick;52;196;1994-01
46;Joystick;36;180;1994-02
47;Joystick;44;164;1994-03
48;Joystick;43;164;1994-04
49;Joystick;43;164;1994-05
50;Joystick;43;164;1994-06
51;Joystick;48;180;1994-07
52;Joystick;42;164;1994-09
53;Joystick;43;164;1994-10
54;Joystick;65;228;1994-11
55;Joystick;77;228;1994-12
56;Joystick;43;212;1995-01
57;Joystick;41;196;1995-02
58;Joystick;37;196;1995-03
59;Joystick;43;196;1995-04
60;Joystick;38;164;1995-05
61;Joystick;36;164;1995-06
62;Joystick;42;164;1995-07
63;Joystick;39;164;1995-09
64;Joystick;55;180;1995-10
65;Joystick;72;180;1995-11
66;Joystick;83;212;1995-12
67;Joystick;34;148;1996-01
68;Joystick;32;148;1996-02
69;Joystick;40;164;1996-03
70;Joystick;37;148;1996-04
71;Joystick;47;164;1996-05
72;Joystick;42;148;1996-06
73;Joystick;51;164;1996-07
74;Joystick;44;164;1996-09
75;Joystick;56;180;1996-10
76;Joystick;79;196;1996-11
77;Joystick;70;212;1996-12
78;Joystick;56;172;1997-01
79;Joystick;38;148;1997-02
80;Joystick;54;164;1997-03
81;Joystick;59;172;1997-04
82;Joystick;55;196;1997-05
83;Joystick;45;180;1997-06
84;Joystick;70;212;1997-07
85;Joystick;55;212;1997-09
86;Joystick;62;204;1997-10
87;Joystick;108;268;1997-11
88;Joystick;78;228;1997-12
89;Joystick;46;180;1998-01
90;Joystick;35;164;1998-02
91;Joystick;39;164;1998-03
92;Joystick;50;196;1998-04
93;Joystick;43;196;1998-05
94;Joystick;46;196;1998-06
95;Joystick;57;228;1998-07
96;Joystick;67;212;1998-09
97;Joystick;63;212;1998-10
98;Joystick;74;212;1998-11
99;Joystick;84;228;1998-12
